1048576..1114111  Supplementary Private Use Area-B
6912..7039  Balinese
6832..6911  Combining Diacritical Marks Extended
6688..6831  Tai Tham
6656..6687  Buginese
6624..6655  Khmer Symbols
6528..6623  New Tai Lue
6480..6527  Tai Le
6400..6479  Limbu
6320..6399  Unified Canadian Aboriginal Syllabics Extended
6144..6319  Mongolian
6016..6143  Khmer
5984..6015  Tagbanwa
5952..5983  Buhid
5920..5951  Hanunoo
5888..5919  Tagalog
5792..5887  Runic
5760..5791  Ogham
5120..5759  Unified Canadian Aboriginal Syllabics
5024..5119  Cherokee
4992..5023  Ethiopic Supplement
4608..4991  Ethiopic
4352..4607  Hangul Jamo
4256..4351  Georgian
4096..4255  Myanmar
3840..4095  Tibetan
3712..3839  Lao
3584..3711  Thai
3456..3583  Sinhala
3328..3455  Malayalam
3200..3327  Kannada
3072..3199  Telugu
2944..3071  Tamil
2816..2943  Oriya
2688..2815  Gujarati
2560..2687  Gurmukhi
2432..2559  Bengali
2304..2431  Devanagari
2208..2303  Arabic Extended-A
2112..2143  Mandaic
2048..2111  Samaritan
1984..2047  NKo
1920..1983  Thaana
1872..1919  Arabic Supplement
1792..1871  Syriac
1536..1791  Arabic
1424..1535  Hebrew
1328..1423  Armenian
1280..1327  Cyrillic Supplement
1024..1279  Cyrillic
880..1023  Greek and Coptic
768..879  Combining Diacritical Marks
688..767  Spacing Modifier Letters
592..687  IPA Extensions
384..591  Latin Extended-B
256..383  Latin Extended-A
128..255  Latin-1 Supplement
0..127  Basic Latin



hyr@DESKTOP-B34IR65 /cygdrive/c/users/hyr/CLionProjects/untitled1
$ ./cmake-build-debug/untitled1.exe < ./main.cpp
#include
